extract_date,client_id,first_name,last_name,birth_date,email,phone,address_city,segment,client_since_date
2026-01-31,C00001,Jana,Marková,1979-09-04,jana.markova@seznam.cz,+420 181 960 013,Plzeň,RETAIL,2013-02-17
2026-01-31,C00002,Michaela,Pokorná,2003-11-21,michaela.pokorna@centrum.cz,940265423,Hradec Králové,Retail,2020-01-28
2026-01-31,C00003,David,Procházka,1978-09-24,david.prochazka@seznam.cz,+420 816 184 959,Praha,premium,2020-04-21
2026-01-31,C00004,Barbora,Černá,1962-02-27,barbora.cerna@email.cz,+420 475 255 341,Plzeň,retail,2018-07-11
2026-01-31,C00005,Miroslav,Černý,2004-12-19,miroslav.cerny@centrum.cz,030564139,Plzeň,premium,2017-04-10
2026-01-31,C00006,Filip,Pokorný,1996-03-01,filip.pokorny@email.cz,+420 388 496 965,Ostrava,retail,2013-02-17
2026-01-31,C00007,Marie,Sedláčková,1959-03-24,marie.sedlackova@seznam.cz,+420691669784,Brno,Retail,2013-08-03
2026-01-31,C00008,Veronika,Sedláčková,1978-12-09,veronika.sedlackova@gmail.com,+420462704828,Kladno,RETAIL,2012-07-02
2026-01-31,C00009,Veronika,Němcová,1972-11-04,veronika.nemcova@email.cz,880957015,Ostrava,retail,2013-08-16
2026-01-31,C00010,Marie,Svobodová,1998-08-07,marie.svobodova@email.cz,+420 227 824 896,Brno,private,2021-12-12
2026-01-31,C00011,Kateřina,Pokorná,1988-07-02,,+420 133 150 983,Pardubice,retail,2020-02-16
2026-01-31,C00012,Jana,Dvořáková,1961-01-17,jana.dvorakova@centrum.cz,834-738-299,Praha,Retail,2011-08-04
2026-01-31,C00013,Hana,Svobodová,1963-09-12,hana.svobodova@centrum.cz,+420 667 010 651,Kladno,retail,2017-12-12
2026-01-31,C00014,Tomáš,Černý,1996-07-03,tomas.cerny@centrum.cz,810-801-326,Plzeň,RETAIL,2019-12-10
2026-01-31,C00015,Eva,Kučerová,1955-03-12,eva.kucerova@seznam.cz,+420468723430,Hradec Králové,RETAIL,2020-03-16
2026-01-31,C00016,Václav,Horák,2002-08-25,vaclav.horak@seznam.cz,+420 121 913 619,Ostrava,retail,2021-05-23
2026-01-31,C00017,Kateřina,Pokorná,2001-11-25,katerina.pokorna@seznam.cz,+420534624751,Olomouc,retail,2014-08-01
2026-01-31,C00018,Jiří,Horák,1978-10-17,jiri.horak@gmail.com,+420354278498,Ostrava,Retail,2011-07-18
2026-01-31,C00019,Marie,Novotná,1978-09-23,marie.novotna@seznam.cz,244-935-348,Brno,retail,2022-05-30
2026-01-31,C00020,Miroslav,Beneš,1979-10-28,miroslav.benes@email.cz,+420242786801,Praha,Retail,2017-06-25
2026-01-31,C00021,Alena,Procházková,2004-07-27,alena.prochazkova@email.cz,045-053-315,Ostrava,RETAIL,2012-11-10
2026-01-31,C00022,Hana,Benešová,1969-07-30,hana.benesova@centrum.cz,256-342-160,Ostrava,Retail,2010-07-23
2026-01-31,C00023,David,Sedláček,1975-06-02,david.sedlacek@seznam.cz,654145868,Plzeň,Retail,2014-05-02
2026-01-31,C00024,Lenka,Novotná,1978-10-25,lenka.novotna@centrum.cz,+420 655 698 169,Praha,retail,2023-05-20
2026-01-31,C00025,Filip,Sedláček,2003-04-22,filip.sedlacek@gmail.com,561595148,Kladno,Premium,2014-06-03
2026-01-31,C00026,Martin,Horák,1966-06-02,martin.horak@gmail.com,+420 299 468 044,Plzeň,RETAIL,2018-07-03
2026-01-31,C00027,Václav,Pokorný,1974-03-04,vaclav.pokorny@seznam.cz,+420 148 951 343,Zlín,Retail,2013-10-22
2026-01-31,C00028,Václav,Němec,1961-07-14,vaclav.nemec@centrum.cz,+420 367 632 016,Pardubice,RETAIL,2022-11-29
2026-01-31,C00029,Jiří,Beneš,1965-11-20,jiri.benes@centrum.cz,889-579-868,Pardubice,Retail,2020-06-03
2026-01-31,C00030,Jakub,Dvořák,1979-11-17,jakub.dvorak@email.cz,+420471434558,Zlín,RETAIL,2015-05-14
2026-01-31,C00031,Tomáš,Marek,1974-03-12,tomas.marek@centrum.cz,+420587603669,Brno,Retail,2019-02-22
2026-01-31,C00032,Pavel,Černý,1989-12-27,pavel.cerny@centrum.cz,937346706,Hradec Králové,RETAIL,2022-04-01
2026-01-31,C00033,Alena,Veselá,1966-06-14,alena.vesela@gmail.com,+420699016272,České Budějovice,Retail,2010-08-09
2026-01-31,C00034,Pavel,Procházka,1989-01-05,pavel.prochazka@email.cz,+420417080531,Liberec,private,2019-06-16
2026-01-31,C00035,Jan,Němec,1968-09-02,jan.nemec@email.cz,+420193745299,Plzeň,RETAIL,2020-08-15
2026-01-31,C00036,Marie,Němcová,1957-04-21,marie.nemcova@centrum.cz,+420631931491,Liberec,premium,2018-06-02
2026-01-31,C00037,Marie,Horáková,1985-08-12,marie.horakova@gmail.com,165-726-284,Praha,retail,2020-12-29
2026-01-31,C00038,Jiří,Beneš,1962-10-10,jiri.benes@gmail.com,799-650-752,Liberec,Retail,2015-06-21
2026-01-31,C00039,Filip,Němec,1979-10-14,filip.nemec@seznam.cz,313-678-377,Zlín,retail,2021-08-03
2026-01-31,C00040,Miroslav,Marek,1976-10-29,miroslav.marek@gmail.com,578-856-855,Liberec,Premium,2023-01-17
2026-01-31,C00041,Lukáš,Dvořák,1983-04-23,lukas.dvorak@gmail.com,+420233749894,Brno,Private,2022-01-07
